#,Date,Version line,Phase,Category,Type,Function / Feature,Description,Module / File,Command / CLI,PR
13,2026-08-21,AI OS v0.4.1,0 Foundation,Learning,Enhancement,ILPC methodology (Bob Pike),EAT / CPR / 90-20-8 rules; outline generator; first material LP-001 Lean Six Sigma.,"prompts/personal-training.md, materials/",learning_engine.py outline LP-001,
14,2026-08-21,AI OS v0.4.1,0 Foundation,Infra,Infra,Sheet template + bootstrap + smoke test + CI,"make_template, bootstrap_demo.sh, smoke_test.sh, CI workflow in docs/ci-workflow.yml.","engine/make_template.py, scripts/",,
15,2026-08-21,AI OS v0.4.1,0 Foundation,Integration,Integration,ChatGPT & VS Code bridge,Context export for chat + editor tasks + usage guide.,"engine/export_for_chat.py, .vscode/",,
16,2026-08-21,AI OS v0.4.1,0 Foundation,Automation,Feature,24/7 autostart,Windows/macOS/Linux installers + daily heartbeat.,autostart/,,
17,2026-08-21,AI OS v0.4.1,0 Foundation,Integration,Integration,Google Drive bridge (sheet import),"Live sheet import, decision-speed plan, fix for public-request invalidation.",engine/import_drive.py,,
18,2026-08-21,AI OS v0.4.1,0 Foundation,Knowledge,Feature,Sources & scientific learning bridge,--sources mode; knowledge_sources section; import of 24 sources + 28 weak-point protocols; LP-002/LP-003.,engine/import_drive.py,--sources,
19,2026-08-22,AI OS v0.4.x,1 CoS Core,Life OS,Feature,14 life doors + door of the day,Life-domain model and daily focus door in the brief; real income baseline.,engine/chief_of_staff.py,/door,
20,2026-08-22,AI OS v0.4.x,1 CoS Core,Knowledge,Feature,Knowledge asset registry,Unified tracking of books/docs/tabs/files/contracts; filter UI; auto-sync in full cycle.,engine/asset_registry.py,,
21,2026-08-22,AI OS v0.4.x,1 CoS Core,Prompts,Feature,4 new playbooks,"Travel, negotiation, writing, family prompt packs.","prompts/travel.md, negotiation.md, writer.md, family.md",,
22,2026-08-22,AI OS v0.4.x,1 CoS Core,Docs,Docs,Agent skills inventory + routing table,11 skills + 9 engines; later audited 19/19.,"docs/agent-skills.md, evaluation/skills-audit-2026-08-22.md",,
23,2026-08-22,AI OS v0.4.x,1 CoS Core,Telegram,Feature,Full Telegram integration (v0),"Button approvals (C2), decisions, brief, capture; social triage; full-text search.","engine/telegram_bot.py, engine/social_triage.py, engine/search.py",/approve /decisions /brief,
24,2026-08-22,AI OS v0.4.x,1 CoS Core,Chief of Staff,Fix,Complaint pattern fix,Pattern for 'bad/complain' + cleanup of misclassified draft.,engine/chief_of_staff.py,,
25,2026-08-22,AI OS v0.4.x,1 CoS Core,Telegram,Fix,getUpdates timeout,Timeout longer than long-poll — removes timeout noise.,engine/telegram_bot.py,,
26,2026-08-22,AI OS v0.4.x,1 CoS Core,Life OS,Feature,"Skills wave 2: OKR, Health Guardian, finance E-S-B-I","OKR engine, energy log, real finance, green Friday brief, voice capture from Telegram.","engine/okr.py, engine/energy_log.py","/okr, energy",
27,2026-08-22,AI OS v0.5,1 CoS Core,Core,Feature,"Orchestrator, permissions, memory, RAG","Core orchestration with provenance, permission model, memory, retrieval.","engine/orchestrator.py, permissions.py, memory.py, rag.py",,#1
28,2026-08-22,AI OS v0.5,1 CoS Core,Core,Feature,"Observability, telemetry, evaluation, control center","Telemetry & observability, evaluation harness, mobile control center, v05 cycle.","engine/observability.py, telemetry.py, evaluate.py, control_center.py",,#1
29,2026-08-22,AI OS v0.5,1 CoS Core,Clinical / Rehab,Feature,RCJY rehabilitation leadership training,"Work context, service packages, CoS scenarios; morning routing prioritises hospital leadership; PHI never in memory/GitHub.","knowledge/rcjy-*.md, training/",,#2
30,2026-08-22,AI OS v0.6,1 CoS Core,Self-improvement,Feature,Self-improving learning loop,"Reflection engine, behaviour model, self-review, decision quality scoring.","engine/reflection_engine.py, behavior_model.py, self_review.py, decision_quality.py",,#3
31,2026-08-22,AI OS v0.7,1 CoS Core,Trust,Feature,"Trust, change intelligence, reliability","Change intelligence, trust dashboard, connector health, backup verification.","engine/change_intelligence.py, trust_dashboard.py, connector_health.py, backup_verify.py",,#4
32,2026-08-22,AI OS v0.8,1 CoS Core,Integration,Integration,Live connectors + unified source sync,"Gmail, Calendar, Drive, GitHub, Telegram live connectors; unified inbox.","engine/live_sync.py, unified_inbox.py, connectors/google_workspace.py, github_live.py, telegram_live.py",,#5
33,2026-08-22,AI OS v0.9,1 CoS Core,Knowledge,Feature,Master professional profile + Drive governance,"Profile YAML, Drive knowledge map, source policy, source governance engine.","knowledge/master-professional-profile.yaml, engine/source_governance.py",,#6
34,2026-08-22,Telegram v1,1 CoS Core,Telegram,Command,Secure polling bot commands,/start /help /profile /sources /selftest; owner lock via TELEGRAM_ALLOWED_CHAT_ID; security tests.,connectors/telegram_bot.py,/start /help /profile /sources /selftest,
35,2026-08-22,Telegram v1,1 CoS Core,Infra,Infra,Railway deployment,"requirements.txt, Dockerfile, Bedrock dependency, Railway volume.","Dockerfile, requirements.txt",,
36,2026-08-22,Telegram v1,1 CoS Core,AI Models,Integration,Claude on AWS Bedrock free-text answers,Free text answered by Claude; conversations persisted to Sheets.,connectors/telegram_bot.py,/bedrock_test,
37,2026-08-22,Telegram v1,1 CoS Core,Memory,Feature,Bounded memory + knowledge retrieval runtime,Agent runtime with memory and retrieval; Railway volume conversation state.,engine/agent_runtime.py,/context_test,
38,2026-08-22,Telegram v1,1 CoS Core,Voice,Integration,AWS Transcribe voice pipeline,Private transcription with cleanup; Telegram voice notes transcribed.,connectors/aws_transcribe.py,,
39,2026-08-22,Telegram v1,1 CoS Core,Google Sheets,Integration,Apps Script secure webhook,Sheets logging/read-search/approved updates without JSON key; Sheets intelligence connector.,"connectors/google_sheets_webhook.gs, sheet_intelligence.py",,
40,2026-08-22,Telegram v1,1 CoS Core,AI Models,Enhancement,Profile grounding,AI responses always grounded in verified professional profile; executive tabs prioritised.,evaluation/profile-grounding-cases.json,,
41,2026-08-22,Telegram v1,1 CoS Core,Telegram,Fix,Repair Sheets commands + syntax validation,"Fixed Telegram Sheets commands, validated Python syntax.",connectors/telegram_bot.py,,
42,2026-08-24,Rehab v1.3,2 Clinical,Clinical / Rehab,Feature,Executive brief discovery,"/brief reads bounded Sheets snapshot, diffs vs last, detects changes/blockers/decisions; updates Executive_Brief tab.",connectors/brief_discovery.py,/brief,#8
43,2026-08-24,Rehab v1.3,2 Clinical,Clinical / Rehab,Integration,Rehab supervisor Google Form,createRehabSupervisorForm + testRehabIntegration.,connectors/rehab_supervisor_form.gs,,#8
44,2026-08-24,Phase 1.5,2 Clinical,Clinical / Rehab,Feature,Safe pre-visit intelligence,Case-code only; safety screen first; URGENT/PRIORITY/ROUTINE review labels; irritability; gaps; hypotheses for clinician review only.,"engine/previsit_intelligence.py, prompts/previsit-intelligence.md, connectors/previsit_patient_form.gs",,#9
45,2026-08-24,Phase 1.5,2 Clinical,Clinical / Rehab,Feature,Approved pre-visit link workflow,Pre-visit links issued only through approval.,engine/previsit_intelligence.py,,#9
46,2026-08-24,Rehab v1.3,2 Clinical,Telegram,Fix,Brief availability + Telegram formatting,Brief kept available before gateway upgrade; readable formatting.,connectors/brief_discovery.py,,
47,2026-08-24,P0,2 Clinical,Telegram,Security,Switch to webhook + harden Sheets/privacy,Polling → webhook; privacy hardening.,connectors/telegram_webhook.py,,#10
48,2026-08-24,P0,2 Clinical,Telegram,Fix,Duplicated /brief + Sheets timeout,Fixed duplicate brief and timeout path.,connectors/telegram_webhook.py,,#11
49,2026-08-25,Memory,2 Clinical,Memory,Fix,Historical memory retrieval + save receipts,Verified save receipts.,engine/context_service.py,/memory_status,
50,2026-08-25,Memory,2 Clinical,Memory,Feature,Provenance-first semantic context retrieval,Unified multi-source retrieval; durable provenance-aware memory; Arabic prefixes; contract concept expansion.,engine/context_service.py,/memory /confirm_memory /update_memory,
51,2026-08-25,Calendar,2 Clinical,Google Calendar,Feature,Confirmed Calendar actions + reminder scheduler,"Create/confirm events, Telegram reminders, Arabic dual-hour phrasing, service-account access, consent docs.","connectors/calendar_actions.py, calendar_intent.py",,
52,2026-08-27,Prod v0.5a,3 Multi-model,AI Models,Integration,OpenRouter primary + Bedrock fallback,Model gateway with permanent Bedrock fallback; model-router CI.,connectors/model_gateway.py,,#14
53,2026-08-28,Prod v0.6,3 Multi-model,AI Models,Feature,Multi-agent task delegation,Delegate agents + council; routing and privacy guard tests.,connectors/task_delegation.py,/delegate /agents /council,#15
54,2026-08-28,Prod v0.7,3 Multi-model,Google,Integration,Read-only Google knowledge gateway,Knowledge read commands + diagnostics; allowlist & URL parsing tests.,(rolled back),/google_access,#16
55,2026-08-28,Prod v0.7.1,3 Multi-model,Google,Fix,Robust service-account parsing,Hotfix.,(rolled back),,#17
56,2026-08-28,Prod v0.8,3 Multi-model,Google,Integration,Apps Script knowledge gateway (Sheets + Drive),Preferred in production; diagnostics in /google_access.,(rolled back),/google_access,#18-#20
57,2026-08-28,Prod v0.8.1,3 Multi-model,Google,Rollback,Rollback Google Knowledge,Restored stable v0.6 workflow (8 rollback commits).,connectors/,,#21
58,2026-08-28,Mission v0.7,3 Multi-model,AI Models,Feature,AI Team Mission Orchestrator,"Shared missions for Claude, GPT, Gemini; specialists via direct APIs; Gemini fallback hotfix; provider diagnostics.","connectors/team_orchestrator.py, direct_specialists.py, provider_diagnostics.py",/mission,#22-#26
59,2026-08-28,Mission v0.8,3 Multi-model,AI Models,Enhancement,Sequential Gemini→GPT handoff,Ordered specialist handoff.,connectors/team_orchestrator.py,,#27
60,2026-08-28,Mission v0.9,3 Multi-model,AI Models,Feature,Bedrock-first lean token budgets,Lightweight Bedrock team adapter; token-budgeted missions; de-identified guardrail; research capsule format.,"connectors/bedrock_team.py, lean_missions.py",,#28
61,2026-08-28,Mission v0.9.1,3 Multi-model,AI Models,Enhancement,Bedrock diagnostics + tiny probe,Probe command for Bedrock team models.,connectors/bedrock_team.py,,#29
62,2026-08-28,Mission v0.9.2,3 Multi-model,AI Models,Enhancement,Nova Micro default lean model,Cheaper default for lean missions.,connectors/lean_missions.py,,#30
63,2026-08-28,Prod v0.9.3,3 Multi-model,Context,Feature,On-demand operational context capsules,Ops context + source status (v0.9.3a).,connectors/ops_context.py,,#31-#32
64,2026-08-28,Prod v0.9.4,3 Multi-model,Google,Enhancement,Hardened Google context transport,Mounted credential files; runtime failure reasons (v0.9.4a).,connectors/google_credentials.py,,#34-#36
65,2026-08-28,Prod v0.9.5,3 Multi-model,Google Calendar,Fix,Calendar reminders in webhook mode,Reminder worker kept alive under webhook.,connectors/telegram_webhook_runtime.py,,#37
66,2026-08-28,Prod v0.9.6,3 Multi-model,Google Calendar,Feature,NL Calendar requests → guarded actions,Natural-language routing + mobile-friendly confirmation.,connectors/mobile_calendar_confirm.py,,#38-#39
67,2026-08-29,Portfolio v1,4 Safety & Truth,Portfolio,Feature,Portfolio page,Rehab & healthcare-AI expert page; LinkedIn; GitHub Pages; CV 2026 V3 refresh; later archived.,portfolio/,,#40-#42
68,2026-08-29,Sheets,4 Safety & Truth,Google Sheets,Fix,Direct-first Sheets writes + import path,"Direct route, diagnostics, resilient writes.",connectors/google_sheets_*,,#43-#45
69,2026-08-29,Direct Brief v2,4 Safety & Truth,Clinical / Rehab,Enhancement,Direct Brief v2 → v2.1,Rebuilt /brief as direct Sheets runtime command; v2.1 adds Google Calendar.,connectors/brief_runtime.py,/brief,#46-#49
70,2026-08-29,Gate 0.5,4 Safety & Truth,Security,Security,Fail closed on ambiguous Calendar dates/times,Regression tests for ambiguity; invalid references (30 Aug).,connectors/calendar_intent.py,,#63
71,2026-08-30,State Safety,4 Safety & Truth,Core State,Enhancement,StateStore concurrency + persistent markers,"Transactional Manager writes, loop markers, CI tests.","engine/store.py, engine/manager.py",,#64
72,2026-08-30,WO-8,4 Safety & Truth,Inbox,Feature,Linked multi-intent capture,Conservative multi-intent recorder; multi-intent-aware unified inbox.,"engine/multi_intent.py, connectors/multi_intent_runtime.py",,#65
73,2026-08-30,Super Manager v1.1,4 Safety & Truth,Chief of Staff,Feature,Super Manager,Grounded in WO-8 record links; FAST compat with NEEDS_INPUT.,connectors/super_manager.py,/manager /manager_status,#66
74,2026-08-30,Canary,4 Safety & Truth,Automation,Feature,FAST-only Manager canary (flag OFF),Wired into webhook runtime behind disabled flag.,connectors/manager_fast_canary.py,/manager_shadow,#67
75,2026-08-31,Capability Truth,4 Safety & Truth,Governance,Feature,Capability Truth + action preflight,Runtime truth about tools; privacy correction; blocks blanket text-only denial; shopping boundaries.,"connectors/capability_truth.py, capability_runtime.py",/capabilities,#68
76,2026-08-31,NL Actions,4 Safety & Truth,Actions,Feature,Natural-language Action Executor,Approval receipts; deadline/reminder/project report; reminder negation; language safety.,"connectors/action_executor.py, action_runtime.py, action_deadline_report.py, action_language_safety.py",/act /action_status /approve_action /reject_action,#69
77,2026-08-31,Exec Brief v3,4 Safety & Truth,Clinical / Rehab,Enhancement,Executive signal discovery,"Constraints, logistics, commitments, status; StateStore route; 06:45 travel rule; departure calculation.","connectors/executive_signals.py, brief_signal_runtime.py",/brief,#70
78,2026-09-01,Capability Truth v2,5 Extensions,Governance,Enhancement,Ground read-only Main Sheet requests,Regressions for read-only sheet capability.,connectors/capability_truth.py,,#71
79,2026-09-01,Commerce,5 Extensions,Commerce,Feature,Commerce Agent core,"Trusted checkout adapter, read-only deal scout, sandbox smoke test, Telegram runtime.","connectors/commerce_agent.py, commerce_checkout.py, commerce_scout.py, commerce_sandbox.py, commerce_runtime.py",/shop /prepare_order /approve_order /commerce_status /commerce_test,#73
80,2026-09-01,Commerce,5 Extensions,Security,Security,$100 pilot order + daily caps,Defense-in-depth cap.,connectors/commerce_agent.py,,#73
81,2026-09-02,Bridge,5 Extensions,API,Feature,First-party /chat Bridge API,BRIDGE_API_KEY-protected POST /chat; unified ask alias.,connectors/bridge_api.py,POST /chat,
82,2026-09-03,CI,5 Extensions,Infra,Infra,Strategic shadow DEV runner,Manual isolated runner; safe prerequisite reporting; bounded concurrency.,.github/workflows/strategic-shadow-dev.yml,,
83,2026-09-04,Books v3.0,5 Extensions,Knowledge,Feature,Books context (learning shelf),"Book retrieval, Super Manager integration, fast path in Telegram; v2.0 → v3.0.",engine/books_context.py,/books,
84,2026-09-08,Connectors,6 Master OS,Google Docs,Integration,Google Docs connector + connection doctor,Unified connection status checker; docs & tab creation from the bot.,"connectors/google_docs_service.py, connection_setup.py",,#78
85,2026-09-08,Connectors,6 Master OS,Docs,Docs,Interactive connection walkthrough page,"Checkboxes, print/PDF, offline; Buffer setup phase.",docs/connection-walkthrough.html,,#78
86,2026-09-09,AI OS v0.9 Master OS,6 Master OS,Knowledge,Feature,Google Drive standard tree + drive_tree,Abdulrahman_Master_OS roots 01–05; render/checklist.,"engine/master_os.py, drive_tree.py",drive_tree.py render|checklist,#80
87,2026-09-09,AI OS v0.9 Master OS,6 Master OS,Agents,Feature,Four sub-agents matrix,Morning Briefing / Clinical & Ops / Knowledge & Audio / Finance & Life.,prompts/master-os-agents.md,,#80
88,2026-09-09,AI OS v0.9 Master OS,6 Master OS,Automation,Feature,"Automation scheduler (11 jobs, Riyadh)",Daily 06:45/07:30/16:00/20:30; weekly Sun/Tue/Thu/Fri; monthly 28/1/last; drafts only.,engine/scheduler.py,"/schedule, scheduler.py today-actions",#80
89,2026-09-09,AI OS v0.9 Master OS,6 Master OS,Knowledge,Feature,Mind-map generator,Markdown → Mermaid mindmap + text tree + library; Friday map.,engine/mindmap.py,/mind_maps,#80
90,2026-09-09,AI OS v0.9 Master OS,6 Master OS,Voice,Feature,Audio digest pipeline,QUEUED→DIGESTED→NARRATED; 5–7 min script; mp3 via ElevenLabs.,engine/audio_digest.py,/audio_digests,#80
91,2026-09-09,AI OS v0.9 Master OS,6 Master OS,Telegram,Command,Master OS panel commands,/masteros /schedule /mind_maps /audio_digests /today_actions /run,engine/telegram_bot.py,/masteros /run /today_actions,#80
92,2026-09-09,v0.9 live wiring,6 Master OS,Voice,Integration,ElevenLabs voice channel,Config + live probe in connection setup.,connectors/connection_setup.py,,#81
93,2026-09-09,v0.9 live wiring,6 Master OS,Telegram,Command,/diag channel status,Presence-only offline diagnostics; empty-state hardening.,engine/telegram_bot.py,/diag,#81
94,2026-09-09,v0.9 live wiring,6 Master OS,Telegram,Fix,Wire Master OS commands to production runtime,Commands & callbacks in webhook runtime.,connectors/telegram_webhook_runtime.py,,#82
95,2026-09-09,v0.9 live wiring,6 Master OS,Telegram,Fix,Reply noise removed,No routine footers; task-first brevity policy.,connectors/telegram_webhook_runtime.py,,#83
96,2026-09-11,Proactive v1.0,7 Proactive,Proactive,Feature,Proactive Chief of Staff loop,observe→remember→predict→score→decide→act/prepare/alert→learn in one Store transaction; from manager --loop.,engine/proactive.py,proactive.py sweep|brief|status|orders,#85
97,2026-09-11,Proactive v1.0,7 Proactive,Proactive,Feature,Open loops register,"Commitments to self/from others, renewals, decisions, project risks.",engine/proactive.py,,#85
98,2026-09-11,Proactive v1.0,7 Proactive,Governance,Feature,Autonomy ladder L0–L4 per category,Comms/money/legal/health/reputation L0–L1; internal tasks L2–L3; no global free-act switch.,engine/proactive.py,,#85
99,2026-09-11,Proactive v1.0,7 Proactive,Proactive,Feature,8 standing orders,"Meeting prep, appointment window, rotting waits, money due, renewals, conflicts, travel, missed-commitment recovery.",engine/proactive.py,order-disable SO-00x,#85
100,2026-09-11,Proactive v1.0,7 Proactive,Governance,Security,Proactive guards,Confidence<0.8 prepare only; 6 alerts/day; quiet hours 22:00–06:30; undo; pause; audit.,engine/proactive.py,"undo PA-xxxx, pause --hours 4, feedback",#85
101,2026-09-11,Proactive v1.0.1,7 Proactive,Telegram,Integration,Urgent-alert Telegram channel,proactive_alert push + first live sweep.,engine/proactive.py,proactive.py push-test,#85
102,2026-09-11,Proactive v1.0.2,7 Proactive,Telegram,Command,Proactive bot commands,/proactive /sweep /proactive_test,connectors/telegram_webhook_runtime.py,/proactive /sweep /proactive_test,#85
103,2026-09-11,Proactive v1.0.3,7 Proactive,Self-improvement,Feature,Weekly acceptance review + bounded self-tuning,Adjusts confidence threshold / max alerts; guard ≥5 decisions.,engine/proactive.py,proactive.py review --apply,#85
104,2026-09-11,Buffer,7 Proactive,Publishing,Integration,Buffer publisher,"GraphQL connector, setup guide, status check, --service resolution, GitHub Action, PR post queue.","connectors/buffer_publisher.py, .github/workflows/buffer-publish.yml, posts/buffer/",,#90-#91
105,2026-09-11,Content,7 Proactive,Automation,Feature,Production proactive worker,Runs in webhook every 15 min; last_proactive_worker marker.,connectors/proactive_worker.py,,#95
106,2026-09-11,Content,7 Proactive,Publishing,Feature,Content Creator orchestra,Researcher → critic → creator; preview; approve/reject; status.,"connectors/content_creator.py, content_runtime.py",/content /approve_content /reject_content /content_status,#95
107,2026-09-11,Content,7 Proactive,Google Sheets,Integration,Life Pulse publishing sheet,Reads Ready/Idea rows; writes PUBLISH_QUEUE.,connectors/content_sheet.py,/content_sheet /content_sheet_status,#96
108,2026-09-11,Content,7 Proactive,Publishing,Fix,Low OpenRouter credit resilience,Workflow continues on low credit.,connectors/content_creator.py,,#97
109,2026-09-11,Content,7 Proactive,Publishing,Fix,Truncated Content Creator JSON recovery,Safe recovery.,connectors/content_creator.py,,#98
110,2026-09-11,Content,7 Proactive,Governance,Enhancement,Runtime-truth grounding for publishing/proactive answers,No invented status.,connectors/capability_truth.py,,#99
111,2026-09-12,Content,7 Proactive,Publishing,Feature,Gemini image & video workflow,Design/video content commands; Sheet queue IDs accepted.,connectors/content_media.py,/design_content /video_content /media_status,#100-#101
112,2026-09-12,Books,7 Proactive,Knowledge,Fix,Learning-tab name variants,Tolerate variants; stop silent fall-through.,engine/books_context.py,,#102
113,2026-09-14,Prod fix,8 Finance & Autopay,Automation,Fix,Dispatch scheduler from production worker,Due scheduler jobs run from webhook worker.,connectors/proactive_worker.py,,#103
114,2026-09-14,Prod fix,8 Finance & Autopay,Memory,Fix,Scheduler persistence + Drive project memory,Riyadh scheduler persisted; Google Drive project memory connector.,connectors/project_memory.py,,#104
115,2026-09-14,Prod fix,8 Finance & Autopay,Runtime,Fix,Real-clock anchor + /time probe,Stopped crash-loop; agent anchored to real clock.,engine/runtime_clock.py,/time,#105
116,2026-09-15,AI OS v2.0,8 Finance & Autopay,Finance,Feature,Unified Finance Hub v2.0,finance as single truth; webhook/CSV/manual pull; monthly snapshot with health_index; Thu 07:00 + 1st 07:30 + hourly.,engine/finance_hub.py,system_status.py --finance,#106
117,2026-09-15,AI OS v2.0,8 Finance & Autopay,Automation,Enhancement,Dormant layers activated (14/14),"asset_registry, backup_verify, change_intelligence, observability, trust_dashboard in manager loop.",engine/manager.py,system_status.py --layers --schedule,#106
118,2026-09-15,AI OS v2.0,8 Finance & Autopay,Proactive,Fix,Proactive live context,No more INFERENCE/MISSING for finance/proactive in bot.,engine/system_status.py,,#106
119,2026-09-15,Web search,8 Finance & Autopay,Search,Feature,Verified YouTube search,"Only verified watch?v= links; auto-attach; DuckDuckGo default, optional YouTube API; PII stripped.",connectors/web_search.py,/youtube /search,#107
120,2026-09-15,Money v1.1,8 Finance & Autopay,Finance,Feature,Money threshold autopay < 375 SAR,money L1→L3 under threshold via payment gateway with receipt/undo; ≥375 or unknown stays red draft.,"connectors/payment_gateway.py, engine/proactive.py",proactive.py threshold|matrix|status,#108
121,2026-09-15,Money v1.1,8 Finance & Autopay,Security,Security,Autopay guards,ENABLED flag + ACK phrase + gateway + known amount + daily cap 375 + idempotency; HARD_MAX_SAR in code; env can only lower.,connectors/payment_gateway.py,,#108
122,2026-09-15,Money v1.1,8 Finance & Autopay,Core State,Feature,autopay_executions ledger + audit events,autopay_authorized/executed/failed/blocked; sandbox connector; 18 tests; verify script.,"connectors/payment_sandbox.py, tests/test_money_threshold.py, scripts/verify_money_threshold.sh",bash scripts/verify_money_threshold.sh,#108
